Client Name,Position,Status,Vertical,Sub Vertical,Functional Expertise,Physical Address,Type,Min High Pressure Phone Sales Experience  (Months),Min Experience in selling In specified vertical (Months),FFM,License,Health Sherpa,TLD Experience,States,Required states,Avg  Age of current employees (years),Office Hours,Weekly Base,Draw,Commission,Avg Weekly Income,Revenue,Job URL,Hot,Hire Rate,4 week attrition rate,Job Id,Candidate Description
Supreme,Licensed Health Insurance Agent,Open ,Health,Limited Med,Sales,"5455 N Federal Hwy Suite L , Boca Raton, FL 33487, USA ",In-Person,3,3,FALSE,FALSE,FALSE,FALSE,0,,28,10am-7pm M-F EST,$0.00 ,$400-$500,30-40% Core + 60-70% ancillary,"$2,000 ",$100.00 ,https://worxwebsolutions.vincere-digital.io/job/licensed-health-insurance-agent-35611,0,1,1,35611,"Strong communication skills. Professional demeanor. Punctual. Committed to role responsibilities. Proficient with basic computer functions and software. Highly motivated. Strong goal orientation. Ability to work in a fast-paced environment. Assessed client needs. Calculated deductibles and premiums. Clearly articulated coverage options. Worked collaboratively in a close-knit team environment. Provided tailored insurance quotes ensuring the best interest of each customer. Active 2-15 or 2-40 insurance license preferred, or a strong sales background. Minimum of 6 months of health insurance sales experience, or 3+ years in a high-pressure sales environment. Exceptional interpersonal skills. Committed to professional growth. Reliable transportation for commuting to Boca Raton office."
US Health Advisors,Sales Representative,Open ,Health,Limited Med,Sales,"560 Village Blvd Suite 250, West Palm Beach, FL 33409, USA",In-Person,3,0,FALSE,FALSE,FALSE,FALSE,0,,33," Monday to Friday, 8 AM - 1 PM AND 5 PM - 9 PM",$0.00 ,$0.00 ,,"$1,500 ",$100.00 ,https://worxwebsolutions.vincere-digital.io/job/sales-representative-35609,0,1,1,35609,"Fluent in English. Strong communication skills. Professional demeanor. Punctual. Committed to role responsibilities. Proficient with basic computer functions and software. Highly motivated. Strong goal orientation. Ability to work in a fast-paced environment. Engaged in effective customer service. Addressed insurance needs and resolved inquiries. Executed telemarketing strategies to expand client base. Managed and administered client benefits. Ensured accurate and prompt processing. Kept abreast of market trends, insurance products, and regulatory changes. Collaborated with team members to meet sales targets. Delivered premium service levels. Upheld client privacy and ensured full compliance with HIPAA regulations. Worked flexible morning and evening shifts. Committed to 50-60 hours per week. Licensing in 33 states. Prior experience in a similar role advantageous but not mandatory."
Coverall Health Group,Licensed Bilingual Health Insurance Agent,Open ,Health,ACA,Sales,261 n university drive suite 710 plantation Fl,In-Person,3,3,FALSE,TRUE,FALSE,FALSE,10,,38,9AM-6PM and 10AM-7PM  EST,$600.00 ,$0.00 ,$10-$25,"$1,800 ",$150.00 ,https://worxwebsolutions.vincere-digital.io/job/bilingual-licensed-aca-health-insurance-agent-35607,0,1,1,35607,"An experienced Bi-Lingual  ACA insurance sales agent with a provable track record of success in the industry. Has at least 6 months of direct ACA sales experience and a history of closing over 15 enrollments daily, maintaining a CPA under 80. Has the ability to take inbound poverty SEP leads and convert them at a rate exceeding 40%, is proficient in TLD and capable of entering deals into Health Sherpa. Has either a 215 or 240 license and has licensure in at least 10 states, and possesses an active 2024 FFM certification. Fluently speaks Spanish and English.Has a fully equipped home office, including a computer, high-speed internet connection, and a quiet place to work."
Brightup Services,Licensed ACA Health Insurance Agent,Open ,Health,ACA,Sales,Remote ,Remote,3,3,TRUE,TRUE,FALSE,FALSE,10,,38,Monday-Friday 10AM-5PM  EST,$720.00 ,$0.00 ,$10-$25,"$2,400 ",$150.00 ,https://worxwebsolutions.vincere-digital.io/job/licensed-aca-health-insurance-agent-35605,0,1,,35605,Fluent in English. Strong communication skills. Professional demeanor. Punctual. Committed to role responsibilities. Proficient with basic computer functions and software. Highly motivated. Strong goal orientation. Ability to work in a fast-paced environment. Sold ACA policies adhering to provided scripts. Ensured punctuality and demonstrated a positive can-do attitude. Balanced inbound and outbound marketing efforts effectively. Active insurance license and FFM certificate. Licensed in 10+ states. Experience selling ACA. Bilingual agents (Spanish/English) are a plus. Non-bilingual agents welcome to apply.
Prime Line Van Lines,Experienced Moving Broker Sales Representative,Open ,Moving,Long Distnace Moving Brokerage,Sales,"3411 NW 9th Ave Suite 704, Fort Lauderdale, FL 33309, USA",In-Person,3,6,FALSE,FALSE,FALSE,FALSE,0,,33," Monday to Thursday: 4 PM - 11 PM EST, Saturday: 2 PM - 10 PM, Sunday: 12 PM - 8 PM", $300 to $500,$0.00 ,15%-30% depending on binder amount,"$2,300 ",$150.00 ,https://worxwebsolutions.vincere-digital.io/job/experienced-moving-brokerage-sales-representative-35603,0,1,1,35603,Experienced Telemarketer. Handle inbound and outbound calls enthusiastically. Persuasive communication skills. Secure sales. Guide customers through sales process. Provide post-sale support. Surpass weekly sales quotas. Maintain professionalism and punctuality. Strong telemarketing or phone sales background. Proven track record of meeting sales targets. Familiarity with CRM and sales software. Experience with Granot software a plus. Highly motivated. Keen enthusiasm for sales. Driven by potential earnings. Experience in moving brokerage sector advantageous.
Monumental Health Solutions LLC,Licensed ACA Health Insurance Agent,On-hold,Health,ACA,Sales,"2700 W Cypress Creek Rd d117, Fort Lauderdale, FL 33309, USA",In-Person,3,3,TRUE,TRUE,FALSE,FALSE,1,,30,Monday-Friday 9AM-6PM  EST,$500.00 ,$0.00 , based on performance,"$2,000 ",$150.00 ,,0,1,1,,
Affordable Health Network LLC,Licensed Health Insurance Agent,Hold,Health,ACA,Sales,"550 Fairway Dr Suite 203a, Deerfield Beach, FL 33441, USA",In-Person,1,0,TRUE,TRUE,FALSE,FALSE,1,,25,"Monday to Friday, 915AM-630PM  EST",$0.00 ,$600.00 ,$15/member $150 + $250 bonus 200 deals $500 bonus $30/referral,"$2,250 ",$150.00 ,https://worxwebsolutions.vincere-digital.io/job/licensed-health-insurance-agent-35721,0,1,,35721,Fluent in English. Strong communication skills. Professional demeanor. Punctual. Committed to role responsibilities. Proficient with basic computer functions and software. Highly motivated. Strong goal orientation. Ability to work in a fast-paced environment. Followed provided script accurately and effectively. Showed up on time. Maintained a positive attitude. Adhered to instructions and guidelines. Entered policy information into Health Sherpa. Utilized CRM and dialer systems efficiently. Held either a 240 or 215 health insurance license. Licensed in at least one state; Florida preferred. No previous sales experience required. No prior work in an ACA office. FFM certification can be obtained later.
Affordable Health Network LLC,Bilingual Licensed Health Insurance Agent,Open,Health,ACA,Sales,"550 Fairway Dr Suite 203a, Deerfield Beach, FL 33441, USA",In-Person,1,0,TRUE,TRUE,FALSE,FALSE,1,,25,"Monday to Friday, 915AM-630PM  EST",$0.00 ,$600.00 ,$15/member $150 + $250 bonus 200 deals $500 bonus $30/referral,"$2,250 ",$150.00 ,https://worxwebsolutions.vincere-digital.io/job/bilingual-licensed-aca-health-insurance-agent-35824,0,1,1,35824,Fluent in English and Spanish. Strong communication skills. Professional demeanor. Punctual. Committed to role responsibilities. Proficient with basic computer functions and software. Highly motivated. Strong goal orientation. Ability to work in a fast-paced environment. Followed provided script accurately and effectively. Showed up on time. Maintained a positive attitude. Adhered to instructions and guidelines. Entered policy information into Health Sherpa. Utilized CRM and dialer systems efficiently. Held either a 240 or 215 health insurance license. Licensed in at least one state; Florida preferred. No previous sales experience required. No prior work in an ACA office. FFM certification can be obtained later.
Call Health,Remote Licensed ACA Health Insurance Agent,Open,Health,ACA,Sales,Remote ,Remote,3,6,TRUE,TRUE,FALSE,FALSE,15,,34,"9 AM – 5 PM, Monday – Friday",$500.00 ,$0.00 , $20 per application commission once the daily minimum of 15 applications is met,"$2,000 ",$75.00 ,https://worxwebsolutions.vincere-digital.io/job/remote-licensed-aca-health-insurance-agent-35756,0,1,1,35756,"An experienced ACA insurance sales agent with a provable track record of success in the industry. Has at least 6 months of direct ACA sales experience and a history of closing over 15 enrollments daily, maintaining a CPA under 80. Has the ability to take inbound poverty SEP leads and convert them at a rate exceeding 40%, is proficient in TLD and capable of entering deals into Health Sherpa. Has either a 215 or 240 license and has licensure in at least 15 states, and possesses an active 2024 FFM certification. Has a fully equipped home office, including a computer, high-speed internet connection, and a quiet place to work."
Lifetime Health Solutions,Licensed ACA Health Insurance Agent,Open,Health,ACA,Sales,"1515 S Federal Hwy #404, Boca Raton, FL 33432, USA",In-Person,6,6,TRUE,TRUE,FALSE,FALSE,11,"AL, AZ, IN, LA, MI, MS, NE, NH, OK, SC, TN",28,10am-6pm Monday-Friday EST,$500.00 ,$0.00 , 0-50 is $10 51-100 is $15 101+ is $20,"$1,800 ",$100.00 ,https://worxwebsolutions.vincere-digital.io/job/licensed-aca-health-insurance-agent-35608,0,1,1,35608,"An experienced ACA insurance sales agent with a provable track record of success in the industry. Has at least 6 months of direct ACA sales experience and a history of closing over 15 enrollments daily, maintaining a CPA under 80. Has the ability to take inbound poverty SEP leads and convert them at a rate exceeding 40%, is proficient in TLD and capable of entering deals into Health Sherpa. Has either a 215 or 240 license and has licensure in at least 11 states AL, AZ, IN, LA, MI, MS, NE, NH, OK, SC, TN, and possesses an active 2024 FFM certification."
Lifetime Health Solutions,Licensed Retention Specialist,Hold,Health,ACA,Retention,"1515 S Federal Hwy #404, Boca Raton, FL 33432, USA",In-Person,6,6,FALSE,TRUE,FALSE,FALSE,1,,26,10am-6pm Monday-Friday EST,$800.00 ,$0.00 ,5-10 per policy,"$1,000 ",$75.00 ,,0,1,1,,
Lifetime Health Solutions,Health Insurance Verification Specialist,Hold,Health,ACA,Retention,"1515 S Federal Hwy #404, Boca Raton, FL 33432, USA",In-Person,6,6,FALSE,FALSE,FALSE,FALSE,1,,26,10am-6pm Monday-Friday EST,$800.00 ,$0.00 ,5-10 per policy,"$1,000 ",$75.00 ,,0,1,1,,
Heightened Health Insurance,Health Insurance Sales Agent,Open ,Health,ACA/Limited,Sales,"2200 N Federal Hwy #210, Boca Raton, FL 33431, USA",In-Person,6,6,FALSE,TRUE,FALSE,FALSE,0,,28,9AM-6PM Monday-Friday some saturdays,$500.00 ,$0.00 ,30-40% Core + 60-70% ancillary,"$1,600 ",$100.00 ,https://worxwebsolutions.vincere-digital.io/job/health-insurance-sales-agent-35722,0,1,1,35722," Strong communication skills. Professional demeanor. Punctual. Committed to role responsibilities. Proficient with basic computer functions and software. Highly motivated. Strong goal orientation. Ability to work in a fast-paced environment. Maintained a consistently positive demeanor. Adhered to highest standards of punctuality and professionalism. Showed strong drive to succeed and exceed sales targets. Active health insurance license (2-15, 2-40, 215, or 240). At least six months of experience in health insurance sales, or significant sales achievements in related high-stakes sectors. Reliable transportation. Exceptional representation of both Worxweb Solutions and self. Strong work ethic. Willingness to learn. Desire to excel."
Impact Marketing,Licensed Final Expense Sales Agent,Open ,Health,Final Expense,Sales,"3111 N University Dr, Coral Springs, FL 33065, USA",In-Person,6,6,FALSE,TRUE,FALSE,FALSE,5,,32,10am-5:30pm Monday-Friday EST,$300.00 ,$0.00 , 130% based on the monthly premium sold,"$2,000 ",$150.00 ,https://worxwebsolutions.vincere-digital.io/job/licensed-final-expense-agent-35931,0,1,1,35931,Strong communication skills. Professional demeanor. Punctual. Committed to role responsibilities. Proficient with basic computer functions and software. Highly motivated. Strong goal orientation. Ability to work in a fast-paced environment. Handled inbound calls seamlessly. Guided clients through final expense policies with empathy and expertise. Exceeded sales targets using top-notch sales skills. Deep understanding of clients' needs. Built lasting relationships from the first call. Proven track record in Final Expense sales. Licensed in at least 10 states. Independent go-getter. Excelled in dynamic environment. Leveraged technology to connect and close deals.
Positive Marketing,Licensed Final Expense Sales Agent,Open ,Health,Final Expense,Sales,"7726 Winegard Rd #3, Pine Castle, FL 32809, USA",In-Person,6,6,FALSE,TRUE,FALSE,FALSE,10,,36,Monday-Friday 9AM-6PM  EST,$800.00 ,$0.00 ,150% agent comps,"$1,800 ",$150.00 ,https://worxwebsolutions.vincere-digital.io/job/licensed-final-expense-sales-agent-36004,0,1,1,36004,Strong communication skills. Professional demeanor. Punctual. Committed to role responsibilities. Proficient with basic computer functions and software. Highly motivated. Strong goal orientation. Ability to work in a fast-paced environment. Handled inbound calls seamlessly. Guided clients through final expense policies with empathy and expertise. Exceeded sales targets using top-notch sales skills. Deep understanding of clients' needs. Built lasting relationships from the first call. Proven track record in Final Expense sales. Licensed in at least 10 states. Ready to hit the ground running. Independent go-getter. Excelled in an in-person environment. Leveraged technology to connect and close deals.
Positive Marketing,Remote Licensed Final Expense Sales Agent,Open ,Health,Final Expense,Sales,Remote ,Remote,6,6,FALSE,TRUE,FALSE,FALSE,10,,36,Monday-Friday 9AM-6PM  EST,$800.00 ,$0.00 ,150% agent comps,"$1,800 ",$100.00 ,https://worxwebsolutions.vincere-digital.io/job/remote-licensed-final-expense-agent-35861,0,1,1,35861,Strong communication skills. Professional demeanor. Punctual. Committed to role responsibilities. Proficient with basic computer functions and software. Highly motivated. Strong goal orientation. Ability to work in a fast-paced environment. Handled inbound calls seamlessly. Guided clients through final expense policies with empathy and expertise. Exceeded sales targets using top-notch sales skills. Deep understanding of clients' needs. Built lasting relationships from the first call. Proven track record in Final Expense sales. Licensed in life and health insurance. Ready to hit the ground running. Independent go-getter. Excelled in remote environment. Leveraged technology to connect and close deals.
ACA Insurance Advisors LLC,Licensed ACA Health Insurance Agent,Open ,Health,ACA,Sales,"1301 Seminole Blvd #126, Largo, FL 33770, USA",In-Person,6,6,TRUE,TRUE,FALSE,FALSE,6,"TX, NC, SC, GA, FL, LA.",33,10am-6pm Monday-Friday EST,$600.00 ,$0.00 ,$10 to $30 per deal depending on volume and CPA,"$2,200 ",$150.00 ,https://worxwebsolutions.vincere-digital.io/job/licensed-aca-health-insurance-agent-35895,0,1,1,35895,"An experienced ACA insurance sales agent with a provable track record of success in the industry. Has at least 6 months of direct ACA sales experience and a history of closing over 15 enrollments daily, maintaining a CPA under 80. Has the ability to take inbound poverty SEP leads and convert them at a rate exceeding 40%, is proficient in TLD and capable of entering deals into Health Sherpa. Has either a 215 or 240 license and has licensure in at least 10 states, and possesses an active 2024 FFM certification."
EPA,Vacation sales fronter,Open ,Vacations,Vacations,Sales,"2677 Forest Hill Blvd #105, West Palm Beach, FL 33406, USA",In-Person,6,6,FALSE,FALSE,FALSE,FALSE,0,,30,10AM-5PM and 12PM-7PM Monday through Saturday,$0.00 ,$400.00 ,15% of sale for fronter,"$1,000 ",$75.00 ,https://worxwebsolutions.vincere-digital.io/job/telemarketing-representative-vacation-pre-arrivals-35596,,,,35596,
TNZ,Vacation sales fronter,Open ,Vacations,Vacations,Sales,"1300 NW 17th Ave #220, Delray Beach, FL 33445, USA",In-Person,1,0,FALSE,FALSE,FALSE,FALSE,0,,30,"Monday to Friday, 10:00 AM - 6:00 PM; Saturday, 10:00 AM - 3:00 PM",$0.00 ,$350-$400 for the first 2-3 weeks,15% commission per individual contribution with a 30% commission split among the team,"$1,000 ",$75.00 ,https://worxwebsolutions.vincere-digital.io/job/telemarketing-fronter-vacations-35599,,,,35599,
Americas Moving And Storage,Moving Brokerage Sales Representative,Open ,Moving,Long Distnace Moving Brokerage,Sales,"2700 W Atlantic Blvd #210, Pompano Beach, FL 33069, USA",In-Person,6,6,FALSE,FALSE,FALSE,FALSE,0,,30,"Monday-Thursday 3pm-11pm Friday 3p-10pm, Saturday off. Sunday 3pm-10pm ",,,20%-30% depending on binder amount,"$1,500 ",$200.00 ,https://worxwebsolutions.vincere-digital.io/job/moving-brokerage-sales-representative-35968,,,,35968,"Experienced Sales/Logistics Coordinator. Prior sales background, preferably in the moving industry. Proficient with computer and phone systems. Self-motivated, relentless pursuit of success. Dependable transportation to office required. Handles inbound calls professionally. Engages potential clients. Manages entire sales process smoothly. Maintains client engagement with follow-up. Crafts persuasive voicemails. Closes deals with confidence. Front-runner in moving and storage industry. Extensive industry experience."
Pure Insurance Solutions,Health Insurance Sales Agent,Open ,Health,Limited Med,Sales,"2700 W Atlantic Blvd #204, Pompano Beach, FL 33069, USA",In-Person,6,6,FALSE,TRUE,FALSE,FALSE,1,,30,"11-8 M-F, every other Saturday from 12-5/6",,,"35% across the board, daily/weekly bonuses and spiffs","$1,000 ",$200.00 ,https://worxwebsolutions.vincere-digital.io/job/health-insurance-sales-agent-35967,,,,35967,"Strong communication skills. Professional demeanor. Punctual. Committed to role responsibilities. Proficient with basic computer functions and software. Highly motivated. Strong goal orientation. Ability to work in a fast-paced environment. Closed sales on u65 health insurance policies, including multiplan/First Health/limited med policies. Utilized provided data sources and leads to achieve sales targets. Maintained a minimum sales quota of 20 deals per week, aiming for 15-25 deals as average. Engaged with leads fronted from offshore reps. Converted leads into inbound calls and closed deals. Demonstrated integrity, professionalism, and a positive attitude in a dynamic work environment. Licensed or unlicensed candidates welcome. Preference for experienced u65 closers. Open to individuals from other verticals with strong closing abilities. Licensed in at least one state, preferably Florida."
ADG,Licensed ACA Health Insurance Agent,Open ,Health,ACA,Sales,"2700 NW 62nd St D126, Fort Lauderdale, FL 33309, USA",In-Person,6,6,TRUE,TRUE,FALSE,FALSE,15,,30," Monday to Friday, 9 AM to 7 PM",,,"$20 per deal up to 100 deals, $25 for 101+ plus additional earnings for dependents $5 and referrals $25. Incentives: Competitive bonuses for maintaining a low cost per acquisition (CPA) and hitting sales milestones","$1,500 ",,https://worxwebsolutions.vincere-digital.io/job/licensed-aca-health-insurance-agent-35929,,,,35929,"An experienced ACA insurance sales agent with a provable track record of success in the industry. Has at least 6 months of direct ACA sales experience and a history of closing over 15 enrollments daily, maintaining a CPA under 80. Has the ability to take inbound poverty SEP leads and convert them at a rate exceeding 40%, is proficient in TLD and capable of entering deals into Health Sherpa. Has either a 215 or 240 license and has licensure in at least 15 states, and possesses an active 2024 FFM certification. "
Emerald,,Open ,Moving,Long Distnace Moving Brokerage,Sales,"6446 NW 5th Way, Fort Lauderdale, FL 33309, USA",In-Person,6,6,FALSE,FALSE,FALSE,FALSE,0,,30,"Monday to Thursday, 10:00 AM - 6:00 PM; Friday, 10:00 AM - 5:00 PM",$375.00 ,,"25-30%, based on sales achievements","$1,500 ",,https://worxwebsolutions.vincere-digital.io/job/experienced-moving-brokerage-sales-representative-35600,,,,35600,Experienced Telemarketer. Handle inbound and outbound calls enthusiastically. Persuasive communication skills. Secure sales. Guide customers through sales process. Provide post-sale support. Surpass weekly sales quotas. Maintain professionalism and punctuality. Strong telemarketing or phone sales background. Proven track record of meeting sales targets. Familiarity with CRM and sales software. Experience with Granot software a plus. Highly motivated. Keen enthusiasm for sales. Driven by potential earnings. Experience in moving brokerage sector advantageous.
Top Tier Moving,,Open ,Moving,Long Distnace Moving Brokerage,Sales,"1712 S Dixie Hwy #2nd, Lake Worth Beach, FL 33460, USA",In-Person,6,6,FALSE,FALSE,FALSE,FALSE,0,,30,10 AM - 6 PM,$300-$400,,20-30%. ,"$1,500 ",,https://worxwebsolutions.vincere-digital.io/job/experienced-moving-brokerage-sales-representative-35966,,,,35966,Experienced Telemarketer. Handle inbound and outbound calls enthusiastically. Persuasive communication skills. Secure sales. Guide customers through sales process. Provide post-sale support. Surpass weekly sales quotas. Maintain professionalism and punctuality. Strong telemarketing or phone sales background. Proven track record of meeting sales targets. Familiarity with CRM and sales software. Experience with Granot software a plus. Highly motivated. Keen enthusiasm for sales. Driven by potential earnings. Experience in moving brokerage sector advantageous.
